ID,Product Category,Inspected Samples,Measurement Samples,Workmanship Samples,Number of Item type,Number of Styles,Total Time (H)
0,Bra,125,10,0,76,3,6.455833333
1,Swimwear,125,2,1,10,2,7.271666667
2,Swimwear,125,4,0,125,4,6.901666667
3,Swimwear,125,2,1,10,2,7.563333333
4,Swimwear,125,2,0,11,3,3.870277778
5,Jeans,125,1,0,22,1,4.739166667
6,Bra,125,3,1,54,2,3.468888889
7,Bra,125,0,0,20,2,6.037777778
8,Pullover,50,1,0,6,1,4.376944444
9,Swimwear,125,1,0,9,2,3.933888889
10,Cardigans,80,3,0,18,2,3.293333333
11,Swimwear,125,1,0,5,1,3.49
12,Bra,125,3,1,75,2,3.838333333
13,Underwear,125,1,0,4,1,5.106666667
14,Underwear,125,32,0,70,4,5.356666667
15,Swimwear,50,1,0,8,1,4.25
16,Swimwear,125,2,0,10,2,3.871388889
17,Knits,125,0,2,12,2,5.156111111
18,Jeans,80,2,1,30,4,4.568333333
19,Swimwear,13,5,0,13,4,2.927222222
20,Jeans,80,2,1,22,1,4.570833333
21,Bra,125,3,2,108,4,6.063333333
22,Swimwear,50,3,0,11,2,4.268055556
23,Jeans,80,4,1,30,4,4.853888889
24,Underwear,125,5,1,50,2,5.816666667
25,Swimwear,125,1,3,11,3,5.031388889
26,"Underwear, Bra",125,4,0,84,3,6.113055556
27,Swimwear,8,3,0,5,1,1.796666667
28,Swimwear,20,2,0,20,5,4.436111111
29,Jeans,80,1,1,22,1,4.53
30,Bra,125,0,2,125,5,4.813611111
31,"Underwear, Bra",125,2,2,70,3,5.941666667
32,Swimwear,125,3,0,20,3,6.755
33,Underwear,125,5,1,43,3,5.794722222
34,Swimwear,80,1,1,22,2,6.005555556
35,Swimwear,50,2,0,20,4,2.513333333
36,Bra,80,1,0,20,1,3.546111111
37,"Underwear, Bra",80,2,0,35,4,6.513333333
38,Bra,125,1,1,125,4,4.873055556
39,"Swimwear, Bra",125,4,0,24,6,5.643611111
40,Swimwear,125,2,0,11,2,2.681944444
41,Knit,32,2,0,6,1,4.449166667
42,Swimwear,125,2,1,20,2,4.9
43,Swimwear,125,2,1,11,3,5.350555556
44,Bra,80,1,0,20,1,5.245555556
45,Bra,50,2,1,43,4,6.253055556
46,Bra,80,4,0,80,2,5.347222222
47,Swimwear,125,2,0,12,2,5.481111111
48,Bra,125,4,1,90,3,5.322222222
49,Knit,125,2,0,20,3,5.096666667
50,Swimwear,13,2,0,11,3,4.483055556
51,Knit,125,1,0,10,1,5.245833333
52,Bra,125,3,0,125,4,5.936666667
53,Bra,125,1,1,20,1,5.5975
54,Bra,125,3,1,125,4,5.299166667
55,Bra,80,2,0,72,2,5.629444444
56,Woven,125,4,22,10,2,1.834444444
57,Cardigan,125,0,1,25,1,2.536666667
58,Knit,50,2,0,23,2,4.228888889
59,Knit,50,2,2,35,4,2.6675
60,Bra,125,3,0,60,6,6.791944444
61,Knit,32,4,0,25,1,3.915277778
62,Bra,80,2,0,10,1,1.614166667
63,Bra,125,4,0,72,3,6.072222222
64,Bra,80,1,1,58,2,4.535
65,Swimwear,80,0,0,11,2,5.404166667
66,Knit,50,3,1,16,2,3.791944444
67,"Jumpsuit, Dress",125,175,2,24,2,3.974444444
68,Swimwear,125,3,0,4,1,2.95
69,Woven,50,2,0,22,3,2.58
70,Knit,125,3,1,20,3,5.640555556
71,Bra,125,0,0,125,3,6.296111111
72,Bra,80,2,0,10,1,3.838611111
73,Knit,32,3,0,11,2,4.817777778
74,T-shirt,125,1,4,25,2,2.144444444
75,Swimwear,80,25,1,9,1,2.128333333
76,Knit,125,1,1,24,1,2.484722222
77,Knit,125,0,2,12,1,1.630277778
78,Knit,125,2,1,10,1,3.469444444
79,Knit,80,0,0,20,4,4.869166667
80,Knit,80,3,0,12,2,5.575277778
81,Knit,125,2,16,62,7,2.3325
82,Swimwear,125,0,1,4,1,3.7425
83,Knit,125,2,0,10,1,5.047222222
84,Knit,50,1,0,50,3,6.598611111
85,Knit,125,2,0,35,2,4.585555556
86,Knit,125,3,2,27,3,1.233611111
87,"Woven, Knit",125,2,0,11,2,5.509722222
88,Swimwear,125,0,2,11,2,4.8875
89,Cardigan,50,0,0,30,2,2.747777778
90,Pant,80,0,0,14,1,1.104166667
91,Pants,125,0,2,47,1,0.7425
92,Underwear,125,0,0,40,2,5.228611111
93,Cardigan,80,0,0,15,1,2.408611111
94,Cardigan,125,0,1,28,2,3.287777778
95,Bra,80,0,0,30,2,2.466666667
96,Cardigan,125,0,0,68,2,7.970555556
97,Tank,32,1,1,30,1,0.962222222
98,Sweatshirt,32,0,1,6,1,0.616666667
99,Boatneck,32,0,0,8,1,0.451388889
100,Knit,20,0,0,18,1,2.413055556
101,"Tank, Crew",125,0,1,78,2,4.363888889
102,Knit,125,0,0,18,2,5.040833333
103,Knit,125,0,0,24,1,3.439166667
104,Knit,125,0,0,24,4,4.880555556
105,BG,125,0,1,10,1,1.389722222
106,ITB,125,0,3,48,5,3.063611111
107,ITG,125,0,2,18,2,2.206388889
108,Neck Tee,125,0,0,54,2,3.308333333
109,Vneck,125,0,1,24,1,1.305
110,Knit,50,0,0,18,2,4.091944444
111,Puffer Vest,50,0,0,15,1,4.455
112,Pullover,32,0,0,12,1,3.272777778
113,Cardigan,50,0,0,48,1,4.310277778
114,Tunic,125,0,0,10,2,3.04
115,Cardigan,32,0,0,6,1,3.289722222
116,Bra,80,0,0,10,1,3.337222222
117,Neck Tee,125,0,2,60,3,2.830555556
118,Underwear,125,0,1,35,2,4.759444444
119,Drapey,125,0,1,30,1,7.190833333
120,BG,80,0,0,10,1,3.011944444
121,Cardigan,80,0,0,18,1,5.910555556
122,Outerwear,80,0,0,10,1,4.695833333
123,Cardigan,80,0,1,6,1,2.225277778
124,Shirts,80,0,0,6,1,5.492222222
125,Blouse,80,0,0,12,1,2.010555556
126,"Cardigan, Pullover",80,0,0,12,2,5.392777778
127,Hoodie,80,0,2,24,3,2.054444444
128,Pants,125,0,2,36,6,4.919444444
129,Pants,50,0,0,10,1,2.272222222
130,Pants,125,0,0,12,1,4.414444444
131,Bra,125,0,0,125,4,4.428611111
132,Crew Neck Tee,125,0,0,60,3,2.884166667
133,BG,80,0,0,10,1,1.817222222
134,Tank,80,0,0,24,2,3.0925
135,Knits,20,0,0,18,3,1.955833333
136,"Cardigans, Knits",125,0,1,30,4,3.581666667
137,Bra,50,0,0,10,1,3.705
138,Bra,125,0,2,30,2,2.746111111
139,"Cardigans, Knits",125,0,2,27,3,6.043055556
140,Outerwear,125,43,1,72,3,5.295555556
141,Knits,125,0,0,10,1,5.089166667
142,Outerwear,50,0,1,10,1,2.2275
143,T-shirt,125,0,0,50,9,3.2925
144,Knits,125,0,0,39,5,2.831388889
145,Cardigans,80,0,0,18,2,3.701666667
146,Pants,80,0,1,22,1,2.775555556
147,Knits,125,0,2,35,3,3.709444444
148,Pants,80,0,0,36,2,3.37
149,Crew,125,0,0,60,3,3.660833333
150,Blouses,50,0,0,12,2,2.368333333
151,Sweater,20,0,0,6,1,4.043333333
152,Knits,80,0,0,28,2,7.620833333
153,Knits,125,0,1,81,5,7.8075
154,Pullover,80,0,0,28,2,3.358611111
155,Outerwear,80,0,0,20,1,1.828333333
156,Woven,125,0,2,35,6,2.561666667
157,"Bra, Knits",125,0,0,100,4,6.590277778
158,T-shirt,125,0,0,40,1,4.062777778
159,Knits,125,0,0,36,4,2.7025
160,Tee,125,0,0,18,1,2.374166667
161,Cardigans,125,0,0,24,1,3.320555556
162,Blazer,80,0,0,15,2,2.065277778
163,"Tee, Legging",80,0,1,15,2,1.733611111
164,Pullover,125,0,1,58,4,5.5575
165,Swimwear,13,0,0,13,1,3.476388889
166,Legging,125,0,1,30,2,1.476666667
167,Skirt,125,0,1,22,2,4.454722222
168,Upbet,125,0,1,24,2,1.815277778
169,Tee,125,0,3,24,3,1.845277778
170,Sweater,20,0,0,6,1,1.561111111
171,Pullover,125,0,1,48,1,4.195833333
172,Tee,125,0,0,36,1,2.954444444
173,Itg,80,0,0,12,2,2.549444444
174,Cardigans,125,0,0,48,1,4.418055556
175,Bra,125,0,0,125,3,7.813611111
176,Swimwear,125,0,1,11,3,6.832222222
177,T-shirt,125,0,0,65,10,3.191388889
178,Blouses,125,0,2,48,8,4.016388889
179,Pants,125,0,0,40,1,2.799166667
180,Polo,80,0,1,24,1,3.201666667
181,Skirt,125,0,1,14,2,3.243888889
182,T-shirt,125,0,0,40,1,2.635555556
183,T-shirt,125,0,0,40,1,1.6275
